1.anode0.kaist.ac.kr|seunghh|2:ppn=1:aa|1743120686|1743227878.5068827|1743231760.1907256
7.anode0.kaist.ac.kr|andy1220|2:ppn=8:aa|1743121697|1743168653.4248903|1743231760.1907256
8.anode0.kaist.ac.kr|andy1220|2:ppn=8:aa|1743121727|1743151165.3790605|1743231760.1907256
9.anode0.kaist.ac.kr|andy1220|2:ppn=8:aa|1743121738|1743155741.9545927|1743231760.1907256
10.anode0.kaist.ac.kr|andy1220|2:ppn=8:aa|1743121745|1743144848.18719|1743231760.1907256
11.anode0.kaist.ac.kr|andy1220|2:ppn=8:aa|1743121754|1743148054.2216256|1743231760.1907256
145.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743128014|1743130010.2062004|1743231760.1907256
146.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743128034|1743129987.8594415|1743231760.1907256
147.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743128035|1743130967.5551162|1743231760.1907256
148.anode0.kaist.ac.kr|ghfkddl1998|1:ppn=8:aa|1743128035|1743130755.497313|1743231760.1907256
149.anode0.kaist.ac.kr|dhoonkim97|2:ppn=32:aa|1743128288|-1|1743231760.1907256
150.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743128317|1743129258.792599|1743231760.1907256
151.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743128338|1743129769.676727|1743231760.1907256
152.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743128351|1743129842.8435585|1743231760.1907256
153.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743128365|1743130016.299738|1743231760.1907256
154.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743128374|1743131516.756461|1743231760.1907256
155.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743128383|1743131745.6614943|1743231760.1907256
156.anode0.kaist.ac.kr|dhoonkim97|2:ppn=8:aa|1743128393|1743131613.002195|1743231760.1907256
